Target,CV,frac,n_train,R2,RMSE
Ra,CV1_KFold,0.1,184,0.067,0.3517
Ra,CV2_GKF,0.1,184,-1.0092,0.5186
Ra,CV3_Chrono,0.1,184,-0.0253,0.2797
Ra,CV1_KFold,0.2,368,0.3059,0.3701
Ra,CV2_GKF,0.2,368,-0.6114,0.4886
Ra,CV3_Chrono,0.2,368,0.4561,0.232
Ra,CV1_KFold,0.3,552,0.5626,0.3552
Ra,CV2_GKF,0.3,552,-0.6271,0.4966
Ra,CV3_Chrono,0.3,552,0.7312,0.2825
Ra,CV1_KFold,0.4,736,0.5837,0.3422
Ra,CV2_GKF,0.4,736,-0.5021,0.4922
Ra,CV3_Chrono,0.4,736,0.5634,0.3075
Ra,CV1_KFold,0.5,920,0.6187,0.3555
Ra,CV2_GKF,0.5,920,-0.4976,0.4993
Ra,CV3_Chrono,0.5,920,0.6638,0.3069
Ra,CV1_KFold,0.6,1104,0.6711,0.3489
Ra,CV2_GKF,0.6,1104,-0.457,0.501
Ra,CV3_Chrono,0.6,1104,0.7118,0.3151
Ra,CV1_KFold,0.7,1288,0.6705,0.3718
Ra,CV2_GKF,0.7,1288,-0.6426,0.5929
Ra,CV3_Chrono,0.7,1288,0.7072,0.338
Ra,CV1_KFold,0.8,1472,0.7031,0.3654
Ra,CV2_GKF,0.8,1472,-0.4755,0.5239
Ra,CV3_Chrono,0.8,1472,0.7473,0.3229
Ra,CV1_KFold,0.9,1656,0.6839,0.3653
Ra,CV2_GKF,0.9,1656,-0.5623,0.5364
Ra,CV3_Chrono,0.9,1656,0.7281,0.3172
Ra,CV1_KFold,1.0,1840,0.6888,0.3601
Ra,CV2_GKF,1.0,1840,-0.472,0.5278
Ra,CV3_Chrono,1.0,1840,0.696,0.3223
Lp,CV1_KFold,0.1,184,0.5886,0.4304
Lp,CV2_GKF,0.1,184,-7.8193,1.136
Lp,CV3_Chrono,0.1,184,0.6512,0.3462
Lp,CV1_KFold,0.2,368,0.8304,0.4051
Lp,CV2_GKF,0.2,368,-17.7823,1.396
Lp,CV3_Chrono,0.2,368,0.8575,0.3557
Lp,CV1_KFold,0.3,552,0.8935,0.5092
Lp,CV2_GKF,0.3,552,-12.5872,1.2036
Lp,CV3_Chrono,0.3,552,0.9063,0.5009
Lp,CV1_KFold,0.4,736,0.8628,0.563
Lp,CV2_GKF,0.4,736,-3.836,0.9955
Lp,CV3_Chrono,0.4,736,0.9063,0.4815
Lp,CV1_KFold,0.5,920,0.8515,0.538
Lp,CV2_GKF,0.5,920,-6.0034,1.0882
Lp,CV3_Chrono,0.5,920,0.884,0.4871
Lp,CV1_KFold,0.6,1104,0.8575,0.5128
Lp,CV2_GKF,0.6,1104,-15.0982,1.4125
Lp,CV3_Chrono,0.6,1104,0.8749,0.4809
Lp,CV1_KFold,0.7,1288,0.8801,0.5877
Lp,CV2_GKF,0.7,1288,-6.3149,1.3535
Lp,CV3_Chrono,0.7,1288,0.922,0.4889
Lp,CV1_KFold,0.8,1472,0.9146,0.6025
Lp,CV2_GKF,0.8,1472,-9.9164,1.4237
Lp,CV3_Chrono,0.8,1472,0.9348,0.5354
Lp,CV1_KFold,0.9,1656,0.9033,0.6354
Lp,CV2_GKF,0.9,1656,-7.6267,1.2743
Lp,CV3_Chrono,0.9,1656,0.9236,0.5662
Lp,CV1_KFold,1.0,1840,0.9002,0.6266
Lp,CV2_GKF,1.0,1840,-5.2832,1.2473
Lp,CV3_Chrono,1.0,1840,0.9258,0.5426
