Target,Feature_i,Label_i,Feature_j,Label_j,Mean_Abs_Interaction
Ra,f,Fo2 (f),f,Fo2 (f),0.1566
Ra,f,Fo2 (f),P,Fo6 (P),0.0275
Ra,f,Fo2 (f),Ft,Fo9 (Ft),0.0156
Ra,f,Fo2 (f),Fe2_Erev,Fe2 (E_rev),0.0163
Ra,f,Fo2 (f),Fe5_Qp,Fe5 (Q′),0.0462
Ra,P,Fo6 (P),f,Fo2 (f),0.0275
Ra,P,Fo6 (P),P,Fo6 (P),0.0798
Ra,P,Fo6 (P),Ft,Fo9 (Ft),0.0241
Ra,P,Fo6 (P),Fe2_Erev,Fe2 (E_rev),0.0175
Ra,P,Fo6 (P),Fe5_Qp,Fe5 (Q′),0.029
Ra,Ft,Fo9 (Ft),f,Fo2 (f),0.0156
Ra,Ft,Fo9 (Ft),P,Fo6 (P),0.0241
Ra,Ft,Fo9 (Ft),Ft,Fo9 (Ft),0.0895
Ra,Ft,Fo9 (Ft),Fe2_Erev,Fe2 (E_rev),0.0245
Ra,Ft,Fo9 (Ft),Fe5_Qp,Fe5 (Q′),0.042
Ra,Fe2_Erev,Fe2 (E_rev),f,Fo2 (f),0.0163
Ra,Fe2_Erev,Fe2 (E_rev),P,Fo6 (P),0.0175
Ra,Fe2_Erev,Fe2 (E_rev),Ft,Fo9 (Ft),0.0245
Ra,Fe2_Erev,Fe2 (E_rev),Fe2_Erev,Fe2 (E_rev),0.0381
Ra,Fe2_Erev,Fe2 (E_rev),Fe5_Qp,Fe5 (Q′),0.0325
Ra,Fe5_Qp,Fe5 (Q′),f,Fo2 (f),0.0462
Ra,Fe5_Qp,Fe5 (Q′),P,Fo6 (P),0.029
Ra,Fe5_Qp,Fe5 (Q′),Ft,Fo9 (Ft),0.042
Ra,Fe5_Qp,Fe5 (Q′),Fe2_Erev,Fe2 (E_rev),0.0325
Ra,Fe5_Qp,Fe5 (Q′),Fe5_Qp,Fe5 (Q′),0.2656
Lp,n,Fo1 (n),n,Fo1 (n),0.2298
Lp,n,Fo1 (n),P,Fo6 (P),0.1372
Lp,n,Fo1 (n),SE,Fo7 (SE),0.0409
Lp,n,Fo1 (n),Fe2_Erev,Fe2 (E_rev),0.0059
Lp,n,Fo1 (n),Fe5_Qp,Fe5 (Q′),0.0354
Lp,P,Fo6 (P),n,Fo1 (n),0.1372
Lp,P,Fo6 (P),P,Fo6 (P),1.4282
Lp,P,Fo6 (P),SE,Fo7 (SE),0.0907
Lp,P,Fo6 (P),Fe2_Erev,Fe2 (E_rev),0.1704
Lp,P,Fo6 (P),Fe5_Qp,Fe5 (Q′),0.0864
Lp,SE,Fo7 (SE),n,Fo1 (n),0.0409
Lp,SE,Fo7 (SE),P,Fo6 (P),0.0907
Lp,SE,Fo7 (SE),SE,Fo7 (SE),0.4463
Lp,SE,Fo7 (SE),Fe2_Erev,Fe2 (E_rev),0.0511
Lp,SE,Fo7 (SE),Fe5_Qp,Fe5 (Q′),0.0534
Lp,Fe2_Erev,Fe2 (E_rev),n,Fo1 (n),0.0059
Lp,Fe2_Erev,Fe2 (E_rev),P,Fo6 (P),0.1704
Lp,Fe2_Erev,Fe2 (E_rev),SE,Fo7 (SE),0.0511
Lp,Fe2_Erev,Fe2 (E_rev),Fe2_Erev,Fe2 (E_rev),0.1615
Lp,Fe2_Erev,Fe2 (E_rev),Fe5_Qp,Fe5 (Q′),0.05
Lp,Fe5_Qp,Fe5 (Q′),n,Fo1 (n),0.0354
Lp,Fe5_Qp,Fe5 (Q′),P,Fo6 (P),0.0864
Lp,Fe5_Qp,Fe5 (Q′),SE,Fo7 (SE),0.0534
Lp,Fe5_Qp,Fe5 (Q′),Fe2_Erev,Fe2 (E_rev),0.05
Lp,Fe5_Qp,Fe5 (Q′),Fe5_Qp,Fe5 (Q′),0.4182
