,Fo1 (n),Fo2 (f),Fo3 (Fz),Fo4 (Fx),Fo5 (Fy),Fo6 (P),Fo7 (SE),Fo8 (Fr),Fo9 (Ft),Fe1 (λ_F),Fe2 (E_rev),Fe3 (λ_xy),Fe4 (F̂_t),Fe5 (Q′),Fe6 (FI),Fe7 (Fsc),"Ta1 (Ra, μm)","Ta2 (Lp, dB)"
Fo1 (n),1.0,0.0,-0.6592,-0.4999,-0.3578,0.8155,0.4791,-0.1673,-0.6736,0.2186,-0.7987,-0.311,0.0129,0.4164,-0.6462,-0.7665,-0.5257,0.751
Fo2 (f),0.0,1.0,0.4529,0.1634,0.3452,0.0325,-0.8164,0.2704,0.3723,0.1091,0.0252,-0.0295,-0.0439,-0.862,0.3947,-0.0101,0.6808,0.4721
Fo3 (Fz),-0.6592,0.4529,1.0,0.452,0.4617,-0.5079,-0.6385,0.2743,0.7098,-0.1083,0.5693,0.2107,-0.3409,-0.6169,0.7032,0.8679,0.6848,-0.2844
Fo4 (Fx),-0.4999,0.1634,0.452,1.0,-0.0801,-0.3528,-0.3216,-0.3347,0.7148,-0.6742,0.4825,0.7302,0.2608,-0.3013,0.5638,0.4143,0.3786,-0.2352
Fo5 (Fy),-0.3578,0.3452,0.4617,-0.0801,1.0,-0.2717,-0.4407,0.9552,0.6177,0.6218,0.2969,-0.4921,0.21,-0.434,0.7611,0.3331,0.5011,-0.1399
Fo6 (P),0.8155,0.0325,-0.5079,-0.3528,-0.2717,1.0,0.51,-0.1439,-0.4798,0.1623,-0.3125,-0.2169,0.0722,0.4293,-0.4629,-0.5993,-0.4619,0.7791
Fo7 (SE),0.4791,-0.8164,-0.6385,-0.3216,-0.4407,0.51,1.0,-0.3106,-0.5687,-0.0118,-0.2472,-0.0908,0.0563,0.9958,-0.5807,-0.3122,-0.8343,0.0614
Fo8 (Fr),-0.1673,0.2704,0.2743,-0.3347,0.9552,-0.1439,-0.3106,1.0,0.3666,0.785,0.1075,-0.7003,0.1469,-0.3107,0.5409,0.1659,0.3421,-0.0483
Fo9 (Ft),-0.6736,0.3723,0.7098,0.7148,0.6177,-0.4798,-0.5687,0.3666,1.0,-0.1347,0.627,0.2862,0.3201,-0.5471,0.9791,0.5908,0.6662,-0.3014
Fe1 (λ_F),0.2186,0.1091,-0.1083,-0.6742,0.6218,0.1623,-0.0118,0.785,-0.1347,1.0,-0.2139,-0.8842,-0.0103,-0.0293,0.0509,-0.1712,-0.0257,0.1648
Fe2 (E_rev),-0.7987,0.0252,0.5693,0.4825,0.2969,-0.3125,-0.2472,0.1075,0.627,-0.2139,1.0,0.3105,0.0518,-0.2262,0.5937,0.647,0.3881,-0.4098
Fe3 (λ_xy),-0.311,-0.0295,0.2107,0.7302,-0.4921,-0.2169,-0.0908,-0.7003,0.2862,-0.8842,0.3105,1.0,0.0544,-0.0728,0.1233,0.2509,0.1389,-0.2015
Fe4 (F̂_t),0.0129,-0.0439,-0.3409,0.2608,0.21,0.0722,0.0563,0.1469,0.3201,-0.0103,0.0518,0.0544,1.0,0.0512,0.3134,-0.3704,0.0335,0.0148
Fe5 (Q′),0.4164,-0.862,-0.6169,-0.3013,-0.434,0.4293,0.9958,-0.3107,-0.5471,-0.0293,-0.2262,-0.0728,0.0512,1.0,-0.5614,-0.264,-0.8265,-0.0198
Fe6 (FI),-0.6462,0.3947,0.7032,0.5638,0.7611,-0.4629,-0.5807,0.5409,0.9791,0.0509,0.5937,0.1233,0.3134,-0.5614,1.0,0.5726,0.6763,-0.2857
Fe7 (Fsc),-0.7665,-0.0101,0.8679,0.4143,0.3331,-0.5993,-0.3122,0.1659,0.5908,-0.1712,0.647,0.2509,-0.3704,-0.264,0.5726,1.0,0.423,-0.5759
"Ta1 (Ra, μm)",-0.5257,0.6808,0.6848,0.3786,0.5011,-0.4619,-0.8343,0.3421,0.6662,-0.0257,0.3881,0.1389,0.0335,-0.8265,0.6763,0.423,1.0,-0.1034
"Ta2 (Lp, dB)",0.751,0.4721,-0.2844,-0.2352,-0.1399,0.7791,0.0614,-0.0483,-0.3014,0.1648,-0.4098,-0.2015,0.0148,-0.0198,-0.2857,-0.5759,-0.1034,1.0
